title,date,location,speaker,description,category,image,attendees,status
"Basics of Finance","2024-10-03","High Rock School, 77 Ferndale Road, Needham, MA","Bank of America Financial Education Team","Essential introduction to personal finance fundamentals. Covered banking basics, budgeting, credit scores, and emergency funds.","Financial Basics","Class-1.jpeg",45,completed
"Investing in Stocks and Building Retirement","2024-10-10","High Rock School, 77 Ferndale Road, Needham, MA","Vikram - Investment Specialist","Stock market fundamentals and retirement planning strategies. Topics included 401k, IRA accounts, portfolio diversification, and long-term wealth building.","Investing","Class-2.jpg",42,completed
"How Life Insurance Builds Assets","2024-10-17","High Rock School, 77 Ferndale Road, Needham, MA","Padma - Insurance Specialist","Explored different types of life insurance and how they contribute to wealth-building. Covered term, whole, and universal life insurance strategies.","Insurance","Class-3.jpg",38,completed
"Real Estate for Retirement and College Planning","2024-10-24","High Rock School, 77 Ferndale Road, Needham, MA","Sanjeev - Real Estate Investment Expert","Practical approaches to using real estate investment for retirement income and college funding. Discussed rental properties, REITs, and tax advantages.","Real Estate","Class-4.jpeg",48,completed
"Tax Saving Strategies","2024-11-07","High Rock School, 77 Ferndale Road, Needham, MA","Jan - Tax Planning Specialist","Legal tax reduction strategies, deductions, credits, and year-end planning techniques. Covered retirement account benefits and business expense optimization.","Taxes","seminar.jpg",45,completed
"Making Real Estate Work with the Right Mortgage","2024-11-14","High Rock School, 77 Ferndale Road, Needham, MA","Darren - Mortgage Specialist","How to choose the right mortgage product and use real estate to build wealth. Discussed fixed vs. adjustable rates, refinancing, and strategic financing.","Real Estate","team.jpg",43,completed
"Spring Financial Education Series - Session 1","2024-05-16","High Rock School, 77 Ferndale Road, Needham, MA","Purple Wings Financial Education Team","Comprehensive workshop covering personal finance fundamentals, investment strategies, and retirement planning with interactive Q&A.","Financial Basics","learners-1.jpg",45,completed
"Spring Financial Education Series - Session 2","2024-05-23","High Rock School, 77 Ferndale Road, Needham, MA","Purple Wings Investment Team","Advanced topics in wealth building, tax optimization, and real estate investing strategies from industry experts.","Investing","learners-2.jpg",42,completed
"Spring Financial Education Series - Session 3","2024-05-30","High Rock School, 77 Ferndale Road, Needham, MA","Estate Planning Experts","Focus on retirement planning, estate planning, and legacy building. Expert speakers discussed comprehensive financial planning for the future.","Retirement","learners-3.jpg",38,completed
"Community Financial Literacy Gathering","2023-07-23","Needham Community Center","Shalini Jha & Community Partners","Our first major community gathering bringing together women from across Needham and Greater Boston to discuss financial empowerment and education.","Community","1st-gathering_Jul23-2.jpeg",35,completed
